prompt,completion
"Sport & Fitness Activity is Walking, Hiking & Camping. Washing Instructions is Hand Wash Only. Brand is Merrell. Occasion Type is Casual. Shoe Or Boot Style is Walking. Main Shoe Material is Leather. Fabric Features is Gore-tex, Waterproof. Heel Type is Flat. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Material is Upper: synthetic, Sole: rubber.","For over a decade, the Merrell® MOAB has been the choice of hikers when a choice needs to be made, making it the bestselling hiker in the world. Famous for its out-of-the-box comfort, durability and all-purpose versatility, its predecessors have enabled 20 million people to step further outdoors.
This iteration features a GORE-TEX® waterproof membrane to keep your feet dry while still allowing your feet to breathe, a new more supportive insole, a softer more cushioned midsole, and a best-in-class Vibram® outsole. "
"Heel Height is Mid. Brand is NeroGiardini. Occasion Type is Casual. Shoe Or Boot Style is Biker Boots. Main Shoe Material is Leather. Exact Heel Height is 7cm. Heel Type is Block. Toe Detail is Closed Toe, Round. Material is Upper: leather, Lining: leather, Sole: rubber .","These mid-calf biker boots from NeroGiardini have been designed from luxurious leather for comfort and longevity.
Accessorised with gold metallic eyelets and the NG logo, the boots sit on a mid-height wide block heel for the ultimate comfort."
"Heel Height is High. Brand is Carvela. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Suede. Range is Carvela Comfort. Exact Heel Height is 8.5cm. Heel Type is Cone. Toe Detail is Almond, Round. Material is upper: suede, lining: leather, sole: rubber."," A simple ankle boot from Carvela Comfort becomes a favourite when you introduce Rita into proceedings. This ankle boot is designed with a soft black suede upper, an 8.5cm tapered heel, a functional inside zip, and ruched detailing around the ankle. "
"Heel Height is High. Brand is Dune. Occasion Type is Smart. Shoe Or Boot Style is Over the Knee Boot. Main Shoe Material is Synthetic. Exact Heel Height is 8.5cm. Heel Type is Block. Toe Detail is Pointed. Material is Upper: microfibre, Sole: synthetic, Lining: synthetic.","Meet your new favourite evening style, the Superstar over-the-knee boots from Dune.
Designed with high-fashion appeal, they feature an embellished mid-block-heel with sparkling diamante adornments for the ultimate style statement. Complete with an elegant pointed toe, wear yours and tick all of this season's style boxes."
"Heel Height is Mid. Brand is Hobbs. Main Shoe Material is Suede. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 4cm. Heel Type is Block. Toe Detail is Closed Toe. Material is Upper: suede, Sole: leather, Lining: leather.","Slinking your way through evenings and events with ease, this pair of courts from Hobbs is made with suede for a luxe addition to your footwear collection.
Set on a block heel, they are finished with closed-off toes for a look that will never date.
Heel height: 4cm"
"Shoe Or Boot Style is Moccasins. Main Shoe Material is Leather. Country of Origin is Netherlands. Heel Type is Flat. Heel Height is Low. Brand is John Lewis. Occasion Type is Smart. Exact Heel Height is 2cm. Toe Detail is Round. Composition is Upper: leather, Sole: synthetic, Lining: leather.","A contemporary take on a classic loafer and expertly designed from soft leather, August has been detailed with the traditional gold snaffle trim.
This timeless style will partner perfectly with any look from formal to casual.
Good to know: Clean regularly with good quality neutral or matching shoe polish. Use a soft cloth to apply and allow the polish to dry so the leather can absorb it properly. Then buff away any excess polish with a cloth or brush. 
By purchasing this product, you are supporting responsible leather manufacturing through the Leather Working Group.
John Lewis & Partners introduces a new style philosophy focused on individuality, colour and versatility. Each piece is designed to work together and with your existing wardrobe.
Designed in-house, the collection features contemporary clothing and accessories with strong, clean lines. Every season, our designers create distinct colour groups that include both the building blocks of every wardrobe and vibrant stand-out pieces that add a finishing touch.
Empower your personal style and mix, match, tone and clash. John Lewis & Partners: it’s how you wear it."
"Heel Height is Mid. Brand is Dune. Occasion Type is Smart. Main Shoe Material is Synthetic. Shoe Or Boot Style is Heeled Sandals. Exact Heel Height is 7.50cm. Strap Type is Adjustable. Fastening is Buckle. Heel Type is Stiletto. Toe Detail is Open Toe. Material is Upper: synthetic, Sole: synthetic, Lining: synthetic.","Primed for evenings in good company, this pair of heeled sandals from Dune comes in a soft, yet durable fabric that's built to last.
Sitting on a stiletto heel, they will wear well with floaty skirts for summertime strolls.
Heel height: 7.5cm"
"Heel Height is 2.5cm. Washing Instructions is Wipe Clean Only. Shoe Or Boot Style is Pumps. Main Shoe Material is Leather. Heel Type is Flat. Brand is Hotter. Occasion Type is Casual. Exact Heel Height is 2.5cm. Comfort and Fit is Underfoot Cushioning, Wide Fit. Toe Detail is Almond, Closed Toe, Round. Composition is Upper: leather, Sole: polyurethane, Lining: leather/textile .","Certain to be a favourite all year round, this pair of pumps from Hotter is fashioned from leather for footwear that will last for years to come.
Sitting on a flat heel, they have been designed for wider feet with underfoot cushioning to provide extra support and are finished with a closed almond-shaped toe.
Heel height: 2.5cm"
"Washing Instructions is Do Not Wash. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Suede Blend. Heel Type is Flat. Heel Height is Flat. Brand is Geox. Occasion Type is Casual. Comfort and Fit is Wide Fit. Toe Detail is Closed Toe, Round. Composition is Upper: suede mix, Lining: synthetic, Sole: synthetic. Pattern Details is Plain.","Adding an athleisure vibe to your look, this pair of trainers by Geox is crafted with soft suede blended uppers.
Set on a flat heel, they boast a wide fit ensuring comfort throughout the day and are finished with a rounded toe."
"Heel Height is 10cm. Main Shoe Material is Suede. Shoe Or Boot Style is Court Shoes. Heel Type is Stiletto. Brand is L.K.Bennett. Exact Heel Height is 10cm. Toe Detail is Pointed. Material is Upper: Suede, Lining: Leather, Sole: Leather .","In a traditional court silhouette, this pair of shoes by L.K.Bennett is made with luxurious suede uppers to add a soft texture to your look.
Set on a stiletto heel, they are neatly pointed at the toe for a timeless finish.
Heel height: 10cm"
"Shoe Or Boot Style is Pumps. Main Shoe Material is Leather. Heel Type is Flat. Heel Height is Flat. Brand is Dune. Exact Heel Height is 1cm. Toe Detail is Almond, Closed Toe. Composition is Upper: leather, Sole: synthetic, Lining: synthetic.","Certain to be a favourite all year round, this pair of pumps from Dune is fashioned from leather for footwear that will last for years to come.
Sitting on a flat heel, they are rounded off with an almond-shaped toe for a softer silhouette."
"Washing Instructions is Do Not Wash. Main Shoe Material is Leather. Shoe Or Boot Style is Pumps. Country of Origin is India. Heel Type is Flat. Heel Height is Flat. Brand is Kin. Exact Heel Height is 2cm. Fastening is Slip-On. Toe Detail is Pointed. Composition is Upper: leather, Sole: synthetic, Lining: leather.","These new Hallie ballerina pumps from Kin feature a contemporary upper design with a pointed toe and high vamp.
Made from soft Nappa leather with a sachetto construction, this style is super flexible for added comfort and will mould like a glove on the foot. Finished with a small hand tack on the centre front, it really has a premium feel."
"Washing Instructions is Do Not Wash. Main Shoe Material is Leather. Shoe Or Boot Style is Pumps. Country of Origin is Italy. Heel Type is Flatform. Heel Height is Low. Brand is John Lewis. Range is Designed for Comfort. Exact Heel Height is 2cm. Toe Detail is Closed Toe, Round. Material is Upper: leather, Sole: synthetic, Lining: leather.","Bring a contemporary design to your new-season assortment with these pumps from our Designed for Comfort range. Made in Italy, our Hannah pumps are a slip-on design with raffia detailing and a cleated sole for durability and grip.
Finished with leather upper and in-socks for an extra dose of comfort, wear with tailoring to dress up your look.
Heel Height: 2cm"
"Heel Height is Low. Washing Instructions is Wipe Clean Only. Brand is Hush Puppies. Occasion Type is Smart. Shoe Or Boot Style is Loafers. Main Shoe Material is Leather. Exact Heel Height is 1.6cm. Fastening is Slip-On. Heel Type is Flat. Toe Detail is Pointed. Composition is Upper: leather, Sole: synthetic, Lining: leather.","Sleek and classy, these Harper Chain Loafers from Hush Puppies are crafted from leather and feature smart chain detailing to the vamp.
Easy to slip on and off, they're completed with a hidden padded collar for added comfort and are leather lined with a comfort insole for a premium finish."
"Shoe Or Boot Style is Loafers. Main Shoe Material is Leather. Heel Type is Block. Heel Height is Mid. Brand is Dune. Occasion Type is Casual. Exact Heel Height is 8cm. Toe Detail is Round. Material is Upper: leather, Sole: synthetic, Lining: synthetic.","Timeless yet modern, flattering yet comfortable... get all you need in a shoe with these stylish Grounded Loafers from Dune.
Designed with high-quality Italian leather, stacked below the chunky tracker sole is a leg-lengthening, mid-block heel. Ideal for any smart-casual look."
"Heel Height is High. Brand is Ralph Lauren. Occasion Type is Casual. Main Shoe Material is Leather. Shoe Or Boot Style is Espadrilles, Heeled Sandals. Exact Heel Height is 7cm. Fastening is Buckle. Heel Type is Platform, Wedge. Toe Detail is Open Toe. Material is Upper: leather. Lining: leather, Sole: rubber/jute.","The Hale pairs supple, full-grain cow leather with braided jute to create a modern sandal rooted in authentic style. It's finished with signature Lauren hardware for an iconic touch."
Heel Height is Mid. Brand is Ted Baker. Main Shoe Material is Patent. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 7.5cm. Heel Type is Block. Toe Detail is Closed Toe. Material is Upper: leather.,"Bringing a sleek edge to your footwear collection, this pair of court shoes from Ted Baker is made with patent uppers for a modern approach to outfitting.
Sitting on a block heel, they pair well with anything from linen trousers to floaty midi dresses for a look that will never date.
Heel height: 7.5cm"
"Heel Height is 3.5cm. Shoe Or Boot Style is Espadrilles. Main Shoe Material is Synthetic. Heel Type is Flatform. Brand is hush. Occasion Type is Casual. Exact Heel Height is 3.5cm. Toe Detail is Closed Toe. Composition is Upper: textile, Inner/Sock: textile, Sole:.  Heel Style is Stacked. Pattern Details is Metallic, Plain.","Tugu's made from metallic canvas and is set on a braided jute platform midsole. We’ll be wearing ours with jeans, shorts, and dresses alike."
"Heel Height is Mid. Brand is CHARLES & KEITH. Occasion Type is Smart. Main Shoe Material is Vegan Leather. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 6.5cm.  Heel Style is Covered. Fastening is Buckle. Heel Type is Block. Toe Detail is Closed Toe, Pointed. Material is Upper: faux leather, Sole: rubber, Lining: faux leather.","A classy yet unique combination of features makes these pumps a clear wardrobe winner. 
From the sleek pointed toe to the nifty buckle, this chalk number is ease and elegance in one chic package. 
Crafted with a sturdy rattan block heel and a stretchable slingback that ensures all-day comfort, it is the perfect everyday essential, perfect for days when you are out and about."
"Brand is Timberland. Occasion Type is Casual. Main Shoe Material is Suede. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Comfort and Fit is Underfoot Cushioning. Toe Detail is Round. Material is Upper: leather, Sole: rubber.","Updating your casual footwear assortment, these trainers from Timberland have a luxe texture in premium suede.
Lacing up for everyday ease, they are the perfect complement to jeans and your favourite tee."
"Washing Instructions is Do Not Wash. Brand is Geox. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Textile. Fastening is Lace-Up. Comfort and Fit is Wide Fit. Toe Detail is Closed Toe, Round. Composition is Upper: 55% textile mesh polyester, 35% synthetic, Sole: 100% rubber, Lining: 77% textile mesh polyester, 23% synthetic.","In a classic sporty shape with a dash of contemporary attitude, these trainers from Geox enhance breathability thanks to their textile uppers.
Lacing up at the front, pair with jeans and a relaxed shirt and get ready for the weekend."
"Brand is Geox. Occasion Type is Casual. Main Shoe Material is Suede. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: leather, textile, Sole: synthetic, Lining: textile/synthetic.","Working a laid-back aesthetic into your casual collection, these trainers from Geox are made from pure suede for premium wear.
With a lace-up fastening for the perfect fit, they are sure to be a favourite for off-duty days."
Washing Instructions is Wipe Clean Only. Brand is CLAE. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Suitable for Vegans/Vegetarians is Suitable For Vegans. Fastening is Lace-Up. Toe Detail is Round. Material is premium cactus vegan.,The iconic silhouette of these CLAE Bradley trainers is built with its new Cactus Vegan material.
"Brand is Ted Baker. Occasion Type is Casual. Main Shoe Material is Leather Blend. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: leather/suede, Sole: rubber, Lining: synthetic. Sustainable Material is Recycled.","An everyday essential, these Barkerl trainers from Ted Baker are designed with a soft suede and leather upper. 
This high-quality runner features easy lace-up fastening and colour contrast details that are sure to become a favourite in your shoe collection.
The upper of this product is made with 50% recycled leather. Using recycled leather helps divert leather cut-off waste from ending in landfills."
"Washing Instructions is Sponge Clean Only. Brand is Tommy Hilfiger. Occasion Type is Casual. Main Shoe Material is Leather Blend. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Closed Toe, Round. Material is Upper: leather mix, Lining: synthetic, Sole: EVA.","Updating your casual footwear assortment, these trainers from Tommy Hilfiger are constructed with pure leather blended uppers that age beautifully with every wear.
Fastening with laces, combine with chinos and a comfy tee for a go-to off-duty ensemble."
Washing Instructions is Wipe Clean Only. Brand is Hush Puppies. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Suede. Fastening is Lace-Up. Toe Detail is Round. Composition is Upper: leather; Lining: textile; Sole: rubber.,"Great for out and about; The Braxton Lace Up is built with a suede leather Upper and lace fastening for extra give. Its subtle padded collar provides extra comfort whatever your plans are. Designed with a leather Upper, hardwearing and flexible sole, and Memory Foam Comfort Insole."
"Brand is Paul Smith. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Canvas. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: cotton canvas, Sole: rubber.","Made from cotton canvas, these 'Kinsey' trainers feature Paul Smith's classic embroidered logo to the heel, along with a colourful striped rubber outsole for a signature flash of colour."
"Washing Instructions is Wipe clean . Brand is GANT. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Closed Toe, Round. Composition is Upper: leather; Lining: synthetic; Sole: rubber .","Built on a lightweight rubber sole, the Joree trainers have an elegant polished look with their smooth leather upper and stamped diamond G logo. Pair with jeans or chinos for a casual look that can take you anywhere."
"Washing Instructions is Wipe Clean . Brand is adidas. Occasion Type is Casual. Main Shoe Material is Mesh. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Almond. Material is Upper: mesh, Sole: rubber.","Step up your weekend look in these adidas Alphaboost shoes. 
Lace them up and hit the town. A Bounce midsole makes the ride soft and springy. BOOST on the heel returns energy as you go, so you're always light on your feet no matter where the afternoon takes you.
Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste."
"Sport & Fitness Activity is Running. Brand is adidas. Occasion Type is Casual. Performance Running Type is Cushioned. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Textile. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: textile, Sole: rubber.","Keep it moving. With a sculpted Cloudfoam midsole, these adidas shoes are made for active days. 
A breathable textile upper and moulded heel counter combine to keep your feet comfortable even after hours of running around. 
Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste."
"Washing Instructions is Wipe Clean Only. Brand is Skechers. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Toe Detail is Closed Toe, Round. Composition is upper: textile, leather, Sole: EVA, Lining: polyester.","Bringing an athleisure vibe to your collection, these trainers from Skechers are crafted from premium leather for long-lasting quality.
Lacing up at the front, pair with jeans and a relaxed shirt and get ready for the weekend."
"Brand is Vans. Occasion Type is Casual. Main Shoe Material is Canvas. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: canvas, Sole: rubber.","In a classic sporty shape with a dash of contemporary attitude, these trainers from Vans are crafted from lightweight canvas.
Fastening with laces, pair with jeans and a relaxed shirt for off-duty days."
"Washing Instructions is Sponge Clean Only. Brand is Calvin Klein. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Suede. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: suede, Sole: rubber.","These stylish trainers from Calvin Klein are made from 100% soft suede and feature a lace-up fastening with a low-top design. 
With contrast tonal suede panelling and a toothy rubber sole, they're finished with signature Calvin Klein Jeans logo branding on the side, tongue and heel panel."
"Washing Instructions is Sponge Clean Only. Brand is Calvin Klein. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: leather, Sole: rubber.","These low-top trainers from Calvin Klein Jeans are made from 100% soft cactus leather and feature a chunky retro sole and stylish mix media tonal panelling. 


Completed with a lace-up fastening and CKJ logo branded heel panel and tongue."
"Washing Instructions is Wipe Clean Only. Brand is CLAE. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Polyester. Fastening is Lace-Up. Toe Detail is Closed Toe, Round. Material is Upper: synthetic, Lining: synthetic, Sole: Rubber.","Updating the classic sporty silhouette for the new season, these trainers from CLAE are built to last thanks to their soft, yet durable composition.
Lacing up for a snug fit, combine with chinos and a comfy tee for a go-to off-duty ensemble."
"Washing Instructions is Sponge Clean Only. Brand is Calvin Klein. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Synthetic. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: synthetic, Sole: rubber. Sustainable Material is Recycled.","Add a sporty vibe to your outfit with these chunky runner trainers from Calvin Klein Jeans.
Made from 100% recycled materials, they feature stylish mesh panelling and a lace-up fastening. Completed with a toothy rubber sole and signature CKJ Monogram logo on the side, tongue and heel for a branded statement."
"Brand is Josef Seibel. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Toe Detail is Round. Composition is Upper: leather, Sole: rubber, Lining: textile.","From Josef Seibel, the Jeremiah 04 is a modern trainer-style, perfect for everyday wear.
With a lightweight and flexible EVA white sole unit, this design has the springy feeling of a new sports shoe but with the high-quality features of a well manufactured leather shoe.
Featuring signature motif and contrast stitching to complete it's on-trend look."
"Brand is Reebok. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Closed Toe, Round. Material is Upper: leather, Sole: rubber, Lining: textile.","Working a laid-back aesthetic into your casual collection, these trainers from Reebok boast a premium leather construction.
Fastening with laces, pair with jeans and a relaxed shirt for off-duty days."
"Sub-Brand is Polo Ralph Lauren. Washing Instructions is Wipe Clean. Brand is Ralph Lauren. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Calf Leather. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: 100% leather, Lining: 100% cotton, Sole: rubber.","In a classic silhouette the Ralph Lauren Longwood Trainers are a versatile staple. Made with a premium leather upper with a comfortable cotton lining, this lace-up style features a debossed logo to the back collar tab and the iconic branding to the side."
Brand is HUGO BOSS. Occasion Type is Casual. Shoe Or Boot Style is Espadrilles. Main Shoe Material is Leather. Fastening is Slip-On. Toe Detail is Round. Range is Business. Material is Leather .,"Easy-wear espadrilles by BOSS. Crafted in supple suede for a rich and refined feel, this casual style is detailed with signature-stripe tape and an embossed logo. The jute outsole has a rubber base for reliable traction."
"Brand is Geox. Occasion Type is Casual. Main Shoe Material is Textile. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Round. Composition is Upper: textile/suede/leather, Sole: ruber/synthetic, Lining: textile/microfibre.","With its outfit-friendly and contemporary-looking running-shoe design, this men's Dolomia ABX sneaker is an essential addition to any man's closet. With a waterproof surface which makes it ideal for bad weather, it has been made from smooth leather and nylon and is the perfect solution for off-duty everyday occasions.	
Amphibiox features advanced waterproof technology from the world of professional outdoor wear hidden in the form of a fashionable shoe. Be ready for everything the city throws at you, with Amphibiox, the perfect footwear choice for any condition. Amphibiox is top of the range in terms of Geox’s waterproof products. It stands out from other waterproof shoes by employing the use of Geox’s pioneering waterproof and breathable sole, pairing it with a series of innovative technologies (including some of Geox’s own patents) on the upper, in order to achieve durable water resistance and breathability.
The special Amphibiox membrane protects against rain, mud and snow, leaving your foot completely dry. The high breathability helps with natural internal temperature regulation, removing moisture from the shoe and guaranteeing freshness or warmth depending on the external temperature. Shoes featuring Amphibiox technology have been designed to provide different levels of water resistance depending on your needs. This model is recommended for outdoor activities, even in heavy rain."
Brand is Vans. Occasion Type is Casual. Main Shoe Material is Canvas. Shoe Or Boot Style is Plimsolls. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: canvas; Sole: rubber.,"With a cushioned insole for superb comfort, this pair of trainers from Vans boast a classic canvas construction.
Lacing up at the front, they're complete with a textured sole giving you all the grip needed when skateboarding or for general everyday use."
"Sub-Brand is BOSS. Brand is HUGO BOSS. Occasion Type is Casual. Main Shoe Material is Leather. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Closed Toe, Round. Range is Business. Material is Upper: leather, Sole: synthetic, Lining: polyester.","Sporty lace-up trainers in smooth leather with logo details and a signature-stripe trim, by BOSS."
"Washing Instructions is Do Not Wash. Brand is Geox. Occasion Type is Casual. Main Shoe Material is Suede. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Comfort and Fit is Wide Fit. Toe Detail is Closed Toe, Round. Material is Upper: suede/fabric, Lining: synthetic, Sole: rubber.","In a classic sporty shape with a dash of contemporary attitude, these trainers from Geox boast a luxurious suede construction.
Lacing up for a snug fit, they're the perfect choice for the weekend.
The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day."
"Washing Instructions is Sponge Clean Only. Brand is Calvin Klein. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: leather, Sole: rubber.","Add a pop of colour to your look with these low-top trainers from Calvin Klein Jeans. 
Made from 100% soft cactus leather, they feature a lace-up fastening and chunky rubber sole.
With contrast mix media panelling, they're finished with signature CKJ logo branding on the side, tongue and heel for a subtle branded touch."
"Washing Instructions is Wipe Clean Only. Brand is adidas. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Textile. Toe Detail is Round. Composition is Upper: synthetic/leather, Sole: rubber, Lining: textile.","These men's adidas trainers are ready for everyday wear no matter the occasion.
They blend into any wardrobe with unmistakable basketball inspiration and bold details that are straight out of the adidas archive, including suede 3-Stripes and exposed foam on the tongue.
The rubber cupsole provides a stable and comfortable foundation for all-day wear."
"Brand is Dune. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: leather, Sole: synthetic, Lining: synthetic.","Keep your leisurewear fresh this season with this classic Thorin trainer from Dune.
Crafted from luxurious materials, and accented with topstitching and perforated panels, this sleek lace-up option is an easy way to elevate the everyday. Set on a contrasting cup sole, this timeless style is sure to put a spring in your step."
"Sub-Brand is Polo Ralph Lauren. Washing Instructions is Wipe Clean. Brand is Ralph Lauren. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Suede. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: suede, Sole: rubber.","These low-top lace-up Sayet trainers from Polo Ralph Lauren are made from suede with minimalist styling.
With a cushioned insole and rubber sole, they're completed with the brand's signature Pony logo."
"Washing Instructions is Wipe clean only. Brand is On. Occasion Type is Casual. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Polyester. Fastening is Lace-Up. Toe Detail is Closed Toe. Composition is Upper: polyester, Sole: rubber.","Updating the classic sporty silhouette for the new season, these trainers from On boast durable uppers that are built to last.
Fastening with laces, pair with jeans and a relaxed shirt for off-duty days."
"Brand is Good News. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Cotton. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: 100% cotton, Sole: recycled EVA. Sustainable Material is GOTS Certified, Recycled.","Its lightest shoe yet, Kook from Good News features a lightweight Bloom EVA outsole offering heel-to-toe comfort and responsiveness from step-in to step-out. 
The boldly curved outsole is hand-crafted in Portugal and features a light breathable footbed for supreme underfoot cushioning and added bounce."
"Sport & Fitness Activity is Running. Washing Instructions is Hand Wash Only. Brand is On. Occasion Type is Casual. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Polyester. Performance Running Type is Cushioned. Fabric Features is Breathable. Composition is Upper: synthetic mesh, Sole: rubber.","The more you run or walk, the more room you need. On trainers and boots are typically designed narrower in the heel and tongue; please consider going up a size if you have wide feet.
Designed to be the lightest fully cushioned running shoe, the Cloud is a true On icon. Since launching in 2014, it's topped Olympic podiums and walked Parisian catwalks, winning awards and fans all over the world. Stylishly concealing state of the art running technology, the Cloud is the perfect performance shoe for all day, every day wear. It's the best-selling On for a reason.

 Padded with Zero-Gravity foam and CloudTec® in the outsole to provide soft, cushioned landings, the reshaped Cloud elements on the sole deliver superior performance and grip across all terrains. That means you've got no excuse to skip out on training if it's a bit wet outside.
Fitted with a moulded heel that provides a snug, secure fit, the Speedboard™ transforms energy generated upon landing into forward motion. This means the more you push yourself out on the road, the more energy you're going to be getting back in return. The signature speed-lacing system lets your foot slip in and out with ease, yet keeps the shoe firmly in place on the move.

 The Cloud is famous for its unmatched step-in feel, thanks to the blend of soft-touch fabrics used in the upper. The breathable, antimicrobial mesh provides stay-fresh comfort, while soft, no-sew taped reinforcements across the shoe and toe cap support the perfect fit."
"Sport & Fitness Activity is Running. Washing Instructions is Sponge Clean Only. Brand is ASICS. Occasion Type is Casual. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Synthetic. Performance Running Type is Cushioned. Fabric Features is Breathable. Comfort and Fit is Underfoot Cushioning. Composition is Upper: synthetic textile, Sole: rubber.","The GEL-KAYANO 29 creates a stable running experience and a more responsive feel underfoot.


Featuring a low-profile external heel counter, this piece comfortably cradles your foot with advanced rearfoot support. ASICS has also updated the midsole with FF BLAST™ PLUS cushioning. to help keep the shoe lightweight while creating a more energized rebound in each step. 


A LITETRUSS™ stability feature is placed on the midsole’s inside angle to help keep your foot from rolling too far inward during your stride."
"Sport & Fitness Activity is Running. Washing Instructions is Wipe Clean Only   . Brand is New Balance. Occasion Type is Casual. Performance Running Type is Neutral. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Suede. Fastening is Lace-Up. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Toe Detail is Round. Composition is Upper: suede/mesh, Sole: rubber.","The 57/40 is the answer to a simple question - ""what if you updated the greatest New Balance shoe of all time – the 574?""
A modern take on a heritage-inspired style, the midsole combines a flared take on the classic 574 look with ‘90s tech-inspired details, while the mudguard and eyerow feature the distinctive wavy embellishments of the ‘80s."
"Sport & Fitness Activity is Running. Washing Instructions is Wipe Clean Only. Brand is adidas. Occasion Type is Casual. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Polyester. Performance Running Type is Neutral. Fabric Features is Breathable, Moisture Resistant. Care instructions is Do not use fabric softener, Use mild detergent only. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Material is Upper: synthetic textile, Sole: rubber.","Who says running needs to be uncomfortable? These shoes are designed to help you run comfortable every time, on any terrain. From a precisely balanced mix of Bounce and increased Boost in the midsole to a new padded tongue and heel patch construction, experience comfort with every step.


Supernova 2 is now made with a lower carbon footprint of 10% compared to the 2020 Supernova. From raw material extraction, processing, packaging, all the way to the end of product's life, adidas has calculated and communicated their carbon footprint, conforming to an internationally recognized standard: ISO 14067"
"Washing Instructions is Wipe Clean Only. Brand is Skechers. Occasion Type is Smart. Shoe Or Boot Style is Safety. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Round. Composition is Upper: leather, Sole: EVA/rubber, Lining: polyester.","Based on traditional design but progressively modernised to fit the needs of the modern man, this work boot from Skechers are crafted from premium leather.
Complete with a lace-up front, they are sure to fit into your workwear rotation with ease."
