prompt,completion,url
"Heel Height is Low. Brand is Muck. Occasion Type is Casual. Main Shoe Material is Rubber. Shoe Or Boot Style is Ankle Boots, Wellingtons. Exact Heel Height is 3cm. Heel Type is Block. Toe Detail is Closed Toe, Round. Composition is Upper; rubber, Sole: rubber, Lining: synthetic.","Making damp socks a thing of the past, this pair of ankle-high wellington boots from Muck is ideal for getting out and about, even if the weather thinks otherwise.
Set on a block heel, they are round-toed in design to make your everyday staples sing.
Heel height: 3cm",https://www.johnlewis.com/muck-arctic-sport-ii-rubber-ankle-boots-black-grey/p110451954
"Heel Height is Low. Brand is AND/OR. Occasion Type is Casual. Shoe Or Boot Style is Biker Boots. Main Shoe Material is Suede. Exact Heel Height is 3cm. Country of Origin is Romania. Heel Type is Block. Toe Detail is Round. Material is Upper: leather, Sole: synthetic, Lining: leather.","These chunky lace-up Rubie utility boots from AND/OR ARE set on a rubber sole with understated lacing. 
They feature stud detailing on the back counter and are made from leather, ideal for adding a bold finish to your outfits.
Good to know: Let any loose dirt dry out, then gently brush it off. You can get rid of stains with a specialist cleaner. After cleaning, it is a good idea to use a waterproofing spray, to protect them from weather and any splashes or spills.
By purchasing this product, you are supporting responsible leather manufacturing through the Leather Working Group.",https://www.johnlewis.com/and-or-leather-lace-up-utility-boots-black/p6438010
"Heel Height is Low. Brand is FatFace. Occasion Type is Casual. Main Shoe Material is Suede. Shoe Or Boot Style is Ankle Boots, Cowboy Boots. Exact Heel Height is 3cm. Heel Type is Block. Toe Detail is Closed Toe, Pointed. Material is Upper: suede, Sole: rubber .","In a simple ankle shape, these cowboy boots by FatFace is fashioned from suede for long-lasting quality and comfort.
Set on a block heel, they are finished with a pointed toe that's sure to flatter.
Heel height: 3cm",https://www.johnlewis.com/fatface-pixie-suede-ankle-cowboy-boots-tan/p6383791
"Main Shoe Material is Synthetic. Shoe Or Boot Style is Knee Boots. Heel Type is Block. Heel Height is Mid. Brand is Boden. Exact Heel Height is 7cm. Material is Upper: Synthetic, Lining: sheep leather, Sole: synthetic.","Think of these soft, faux suede knee-high boots as the foundation of your shoe-drobe. They've got plenty of stretch, a snug fit on the calf and a totally walkable block heel for ultimate comfort. Just pull them on over tights or jeans and you're good to go anywhere.
Heel Height: 7cm",https://www.johnlewis.com/boden-round-toe-block-heel-knee-high-boots/navy/p4445116
"Heel Height is Flat. Brand is Josef Seibel. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Leather. Heel Type is Flat. Comfort and Fit is Underfoot Cushioning. Toe Detail is Closed Toe, Round. Composition is Upper: leather, Lining: leather and textile, Sole: EVO . Pattern Details is Floral.","Balancing function and form, this pair of ankle boots from Josef Seibel is made from leather for comfort and quality that you can rely on.
Sitting on a flat heel with a lightweight, durable and flexible hand-stitched natural finished sole, they have been designed with removable underfoot cushioning and plenty of padding around your ankle to provide extra support when on your feet.",https://www.johnlewis.com/josef-seibel-neele-01-floral-leather-lace-up-ankle-boots-brown-multi/p6313923
"Heel Height is Mid. Brand is Carvela. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Leather. Exact Heel Height is 8cm. Heel Type is Block. Toe Detail is Closed Toe. Material is Upper:leather, Sole: rubber, Lining: leather.","An understated classic you can’t possibly be without, this pair of ankle boots from Carvela is made with supple leather for a luxurious feel.
Set on a block heel, they are sure to be a favourite for off-duty days.
Heel height: 8cm",https://www.johnlewis.com/carvela-slouch-leather-ankle-boots-black/p6359589
"Heel Height is Low. Brand is Dune. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Leather. Exact Heel Height is 5cm. Heel Type is Block. Toe Detail is Closed Toe. Composition is Upper: leather, Sole: synthetic, Lining: synthetic.","Balancing function and form, this pair of ankle boots from Dune is made from leather for comfort and quality that you can rely on.
Set on a block heel, they are sure to keep out the chill.
Heel height: 5cm",https://www.johnlewis.com/dune-photograph-leather-ankle-boots-ecru/p6389906
Heel Height is Low. Brand is John Lewis. Occasion Type is Casual. Shoe Or Boot Style is Knee Boots. Main Shoe Material is Leather. Range is Erica Davies. Exact Heel Height is 5.5cm. Country of Origin is Spain. Comfort and Fit is Wide Calf. Toe Detail is Round.," The ultimate knee-high boot in a wearable leopard print.""
 wide fit with low heel.
 knee
By purchasing this product, you are supporting responsible leather manufacturing through the Leather Working Group.
Made in Spain.
For the wider fitting calf.
 taken from 290mm up from the back of the heel. Topline Circumference taken around the top edge of the boot.",https://www.johnlewis.com/john-lewis-erica-davies-valencia-leather-wide-calf-knee-high-boots-leopard/p6334208
"Sport & Fitness Activity is Walking, Hiking & Camping. Washing Instructions is Hand Wash Only. Brand is Merrell. Occasion Type is Casual. Shoe Or Boot Style is Walking. Main Shoe Material is Leather. Fabric Features is Gore-tex, Waterproof. Heel Type is Flat. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Material is Upper: synthetic, Sole: rubber.","For over a decade, the Merrell® MOAB has been the choice of hikers when a choice needs to be made, making it the bestselling hiker in the world. Famous for its out-of-the-box comfort, durability and all-purpose versatility, its predecessors have enabled 20 million people to step further outdoors.
This iteration features a GORE-TEX® waterproof membrane to keep your feet dry while still allowing your feet to breathe, a new more supportive insole, a softer more cushioned midsole, and a best-in-class Vibram® outsole. ",https://www.johnlewis.com/merrell-moab-3-womens-gore-tex-waterproof-hiking-shoes/p6345022
"Heel Height is Mid. Brand is NeroGiardini. Occasion Type is Casual. Shoe Or Boot Style is Biker Boots. Main Shoe Material is Leather. Exact Heel Height is 7cm. Heel Type is Block. Toe Detail is Closed Toe, Round. Material is Upper: leather, Lining: leather, Sole: rubber .","These mid-calf biker boots from NeroGiardini have been designed from luxurious leather for comfort and longevity.
Accessorised with gold metallic eyelets and the NG logo, the boots sit on a mid-height wide block heel for the ultimate comfort.",https://www.johnlewis.com/nerogiardini-mid-calf-leather-biker-boots-black/p109120220
"Heel Height is High. Brand is Carvela. Occasion Type is Casual. Shoe Or Boot Style is Ankle Boots. Main Shoe Material is Suede. Range is Carvela Comfort. Exact Heel Height is 8.5cm. Heel Type is Cone. Toe Detail is Almond, Round. Material is upper: suede, lining: leather, sole: rubber."," A simple ankle boot from Carvela Comfort becomes a favourite when you introduce Rita into proceedings. This ankle boot is designed with a soft black suede upper, an 8.5cm tapered heel, a functional inside zip, and ruched detailing around the ankle. ",https://www.johnlewis.com/carvela-rita-ankle-boots-black/p109469139
"Heel Height is High. Brand is Dune. Occasion Type is Smart. Shoe Or Boot Style is Over the Knee Boot. Main Shoe Material is Synthetic. Exact Heel Height is 8.5cm. Heel Type is Block. Toe Detail is Pointed. Material is Upper: microfibre, Sole: synthetic, Lining: synthetic.","Meet your new favourite evening style, the Superstar over-the-knee boots from Dune.
Designed with high-fashion appeal, they feature an embellished mid-block-heel with sparkling diamante adornments for the ultimate style statement. Complete with an elegant pointed toe, wear yours and tick all of this season's style boxes.",https://www.johnlewis.com/dune-superstar-jewelled-high-heel-over-the-knee-boots-black/p109539045
"Heel Height is Mid. Brand is Hobbs. Main Shoe Material is Suede. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 4cm. Heel Type is Block. Toe Detail is Closed Toe. Material is Upper: suede, Sole: leather, Lining: leather.","Slinking your way through evenings and events with ease, this pair of courts from Hobbs is made with suede for a luxe addition to your footwear collection.
Set on a block heel, they are finished with closed-off toes for a look that will never date.
Heel height: 4cm",https://www.johnlewis.com/hobbs-hannah-suede-slingback-court-shoes/midnight/p110122146
"Shoe Or Boot Style is Moccasins. Main Shoe Material is Leather. Country of Origin is Netherlands. Heel Type is Flat. Heel Height is Low. Brand is John Lewis. Occasion Type is Smart. Exact Heel Height is 2cm. Toe Detail is Round. Composition is Upper: leather, Sole: synthetic, Lining: leather.","A contemporary take on a classic loafer and expertly designed from soft leather, August has been detailed with the traditional gold snaffle trim.
This timeless style will partner perfectly with any look from formal to casual.
Good to know: Clean regularly with good quality neutral or matching shoe polish. Use a soft cloth to apply and allow the polish to dry so the leather can absorb it properly. Then buff away any excess polish with a cloth or brush. 
By purchasing this product, you are supporting responsible leather manufacturing through the Leather Working Group.
John Lewis & Partners introduces a new style philosophy focused on individuality, colour and versatility. Each piece is designed to work together and with your existing wardrobe.
Designed in-house, the collection features contemporary clothing and accessories with strong, clean lines. Every season, our designers create distinct colour groups that include both the building blocks of every wardrobe and vibrant stand-out pieces that add a finishing touch.
Empower your personal style and mix, match, tone and clash. John Lewis & Partners: it’s how you wear it.",https://www.johnlewis.com/john-lewis-august-leather-moccasins/white-croc/p109774715
"Heel Height is Mid. Brand is Dune. Occasion Type is Smart. Main Shoe Material is Synthetic. Shoe Or Boot Style is Heeled Sandals. Exact Heel Height is 7.50cm. Strap Type is Adjustable. Fastening is Buckle. Heel Type is Stiletto. Toe Detail is Open Toe. Material is Upper: synthetic, Sole: synthetic, Lining: synthetic.","Primed for evenings in good company, this pair of heeled sandals from Dune comes in a soft, yet durable fabric that's built to last.
Sitting on a stiletto heel, they will wear well with floaty skirts for summertime strolls.
Heel height: 7.5cm",https://www.johnlewis.com/dune-wide-fit-majesty-strappy-barely-there-heels-gold/p110166812
"Heel Height is 2.5cm. Washing Instructions is Wipe Clean Only. Shoe Or Boot Style is Pumps. Main Shoe Material is Leather. Heel Type is Flat. Brand is Hotter. Occasion Type is Casual. Exact Heel Height is 2.5cm. Comfort and Fit is Underfoot Cushioning, Wide Fit. Toe Detail is Almond, Closed Toe, Round. Composition is Upper: leather, Sole: polyurethane, Lining: leather/textile .","Certain to be a favourite all year round, this pair of pumps from Hotter is fashioned from leather for footwear that will last for years to come.
Sitting on a flat heel, they have been designed for wider feet with underfoot cushioning to provide extra support and are finished with a closed almond-shaped toe.
Heel height: 2.5cm",https://www.johnlewis.com/hotter-robyn-ii-wide-fit-leather-ballet-pump/soft-gold/p6296444
"Washing Instructions is Do Not Wash. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Suede Blend. Heel Type is Flat. Heel Height is Flat. Brand is Geox. Occasion Type is Casual. Comfort and Fit is Wide Fit. Toe Detail is Closed Toe, Round. Composition is Upper: suede mix, Lining: synthetic, Sole: synthetic. Pattern Details is Plain.","Adding an athleisure vibe to your look, this pair of trainers by Geox is crafted with soft suede blended uppers.
Set on a flat heel, they boast a wide fit ensuring comfort throughout the day and are finished with a rounded toe.",https://www.johnlewis.com/geox-leelu-low-top-casual-shoes-nude/p110155114
"Heel Height is 10cm. Main Shoe Material is Suede. Shoe Or Boot Style is Court Shoes. Heel Type is Stiletto. Brand is L.K.Bennett. Exact Heel Height is 10cm. Toe Detail is Pointed. Material is Upper: Suede, Lining: Leather, Sole: Leather .","In a traditional court silhouette, this pair of shoes by L.K.Bennett is made with luxurious suede uppers to add a soft texture to your look.
Set on a stiletto heel, they are neatly pointed at the toe for a timeless finish.
Heel height: 10cm",https://www.johnlewis.com/l-k-bennett-fern-pointed-toe-suede-court-shoes/beige-suede/p5520031
"Shoe Or Boot Style is Pumps. Main Shoe Material is Leather. Heel Type is Flat. Heel Height is Flat. Brand is Dune. Exact Heel Height is 1cm. Toe Detail is Almond, Closed Toe. Composition is Upper: leather, Sole: synthetic, Lining: synthetic.","Certain to be a favourite all year round, this pair of pumps from Dune is fashioned from leather for footwear that will last for years to come.
Sitting on a flat heel, they are rounded off with an almond-shaped toe for a softer silhouette.",https://www.johnlewis.com/dune-hippity-leather-snaffle-trim-slingback-pumps/camel/p110166739
"Washing Instructions is Do Not Wash. Main Shoe Material is Leather. Shoe Or Boot Style is Pumps. Country of Origin is India. Heel Type is Flat. Heel Height is Flat. Brand is Kin. Exact Heel Height is 2cm. Fastening is Slip-On. Toe Detail is Pointed. Composition is Upper: leather, Sole: synthetic, Lining: leather.","These new Hallie ballerina pumps from Kin feature a contemporary upper design with a pointed toe and high vamp.
Made from soft Nappa leather with a sachetto construction, this style is super flexible for added comfort and will mould like a glove on the foot. Finished with a small hand tack on the centre front, it really has a premium feel.",https://www.johnlewis.com/kin-hallie-leather-pointed-toe-ballerina-pumps-black/p5621685
"Washing Instructions is Do Not Wash. Main Shoe Material is Leather. Shoe Or Boot Style is Pumps. Country of Origin is Italy. Heel Type is Flatform. Heel Height is Low. Brand is John Lewis. Range is Designed for Comfort. Exact Heel Height is 2cm. Toe Detail is Closed Toe, Round. Material is Upper: leather, Sole: synthetic, Lining: leather.","Bring a contemporary design to your new-season assortment with these pumps from our Designed for Comfort range. Made in Italy, our Hannah pumps are a slip-on design with raffia detailing and a cleated sole for durability and grip.
Finished with leather upper and in-socks for an extra dose of comfort, wear with tailoring to dress up your look.
Heel Height: 2cm",https://www.johnlewis.com/john-lewis-designed-for-comfort-hannah-leather-pumps/silver/p5483566
"Heel Height is Low. Washing Instructions is Wipe Clean Only. Brand is Hush Puppies. Occasion Type is Smart. Shoe Or Boot Style is Loafers. Main Shoe Material is Leather. Exact Heel Height is 1.6cm. Fastening is Slip-On. Heel Type is Flat. Toe Detail is Pointed. Composition is Upper: leather, Sole: synthetic, Lining: leather.","Sleek and classy, these Harper Chain Loafers from Hush Puppies are crafted from leather and feature smart chain detailing to the vamp.
Easy to slip on and off, they're completed with a hidden padded collar for added comfort and are leather lined with a comfort insole for a premium finish.",https://www.johnlewis.com/hush-puppies-harper-leather-loafers/black/p110022241
"Shoe Or Boot Style is Loafers. Main Shoe Material is Leather. Heel Type is Block. Heel Height is Mid. Brand is Dune. Occasion Type is Casual. Exact Heel Height is 8cm. Toe Detail is Round. Material is Upper: leather, Sole: synthetic, Lining: synthetic.","Timeless yet modern, flattering yet comfortable... get all you need in a shoe with these stylish Grounded Loafers from Dune.
Designed with high-quality Italian leather, stacked below the chunky tracker sole is a leg-lengthening, mid-block heel. Ideal for any smart-casual look.",https://www.johnlewis.com/dune-grounded-leather-block-heel-loafers-ecru/p109672215
"Heel Height is High. Brand is Ralph Lauren. Occasion Type is Casual. Main Shoe Material is Leather. Shoe Or Boot Style is Espadrilles, Heeled Sandals. Exact Heel Height is 7cm. Fastening is Buckle. Heel Type is Platform, Wedge. Toe Detail is Open Toe. Material is Upper: leather. Lining: leather, Sole: rubber/jute.","The Hale pairs supple, full-grain cow leather with braided jute to create a modern sandal rooted in authentic style. It's finished with signature Lauren hardware for an iconic touch.",https://www.johnlewis.com/lauren-ralph-lauren-hale-leather-espadrilles-deep-saddle-tan/p109903929
Heel Height is Mid. Brand is Ted Baker. Main Shoe Material is Patent. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 7.5cm. Heel Type is Block. Toe Detail is Closed Toe. Material is Upper: leather.,"Bringing a sleek edge to your footwear collection, this pair of court shoes from Ted Baker is made with patent uppers for a modern approach to outfitting.
Sitting on a block heel, they pair well with anything from linen trousers to floaty midi dresses for a look that will never date.
Heel height: 7.5cm",https://www.johnlewis.com/ted-baker-keliy-patent-leather-court-shoes/black/p109966872
"Heel Height is 3.5cm. Shoe Or Boot Style is Espadrilles. Main Shoe Material is Synthetic. Heel Type is Flatform. Brand is hush. Occasion Type is Casual. Exact Heel Height is 3.5cm. Toe Detail is Closed Toe. Composition is Upper: textile, Inner/Sock: textile, Sole:.  Heel Style is Stacked. Pattern Details is Metallic, Plain.","Tugu's made from metallic canvas and is set on a braided jute platform midsole. We’ll be wearing ours with jeans, shorts, and dresses alike.",https://www.johnlewis.com/hush-tugu-espadrille-trainers-rose-gold/p110202511
"Heel Height is Mid. Brand is CHARLES & KEITH. Occasion Type is Smart. Main Shoe Material is Vegan Leather. Shoe Or Boot Style is Court Shoes. Exact Heel Height is 6.5cm.  Heel Style is Covered. Fastening is Buckle. Heel Type is Block. Toe Detail is Closed Toe, Pointed. Material is Upper: faux leather, Sole: rubber, Lining: faux leather.","A classy yet unique combination of features makes these pumps a clear wardrobe winner. 
From the sleek pointed toe to the nifty buckle, this chalk number is ease and elegance in one chic package. 
Crafted with a sturdy rattan block heel and a stretchable slingback that ensures all-day comfort, it is the perfect everyday essential, perfect for days when you are out and about.",https://www.johnlewis.com/charles-keith-faux-leather-woven-heel-court-shoes-chalk/p110078089
"Brand is Timberland. Occasion Type is Casual. Main Shoe Material is Suede. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Comfort and Fit is Underfoot Cushioning. Toe Detail is Round. Material is Upper: leather, Sole: rubber.","Updating your casual footwear assortment, these trainers from Timberland have a luxe texture in premium suede.
Lacing up for everyday ease, they are the perfect complement to jeans and your favourite tee.",https://www.johnlewis.com/timberland-windsor-park-suede-trainers/navy/p109901983
"Washing Instructions is Do Not Wash. Brand is Geox. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Textile. Fastening is Lace-Up. Comfort and Fit is Wide Fit. Toe Detail is Closed Toe, Round. Composition is Upper: 55% textile mesh polyester, 35% synthetic, Sole: 100% rubber, Lining: 77% textile mesh polyester, 23% synthetic.","In a classic sporty shape with a dash of contemporary attitude, these trainers from Geox enhance breathability thanks to their textile uppers.
Lacing up at the front, pair with jeans and a relaxed shirt and get ready for the weekend.",https://www.johnlewis.com/geox-pg1x-lace-up-trainers-black/p109927177
"Brand is Geox. Occasion Type is Casual. Main Shoe Material is Suede. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: leather, textile, Sole: synthetic, Lining: textile/synthetic.","Working a laid-back aesthetic into your casual collection, these trainers from Geox are made from pure suede for premium wear.
With a lace-up fastening for the perfect fit, they are sure to be a favourite for off-duty days.",https://www.johnlewis.com/geox-spherica-low-cut-sneaker-black/p109927201
Washing Instructions is Wipe Clean Only. Brand is CLAE. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Suitable for Vegans/Vegetarians is Suitable For Vegans. Fastening is Lace-Up. Toe Detail is Round. Material is premium cactus vegan.,The iconic silhouette of these CLAE Bradley trainers is built with its new Cactus Vegan material.,https://www.johnlewis.com/clae-bradley-gum-vegan-leather-trainers-sage/p110064476
"Brand is Ted Baker. Occasion Type is Casual. Main Shoe Material is Leather Blend. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: leather/suede, Sole: rubber, Lining: synthetic. Sustainable Material is Recycled.","An everyday essential, these Barkerl trainers from Ted Baker are designed with a soft suede and leather upper. 
This high-quality runner features easy lace-up fastening and colour contrast details that are sure to become a favourite in your shoe collection.
The upper of this product is made with 50% recycled leather. Using recycled leather helps divert leather cut-off waste from ending in landfills.",https://www.johnlewis.com/ted-baker-barkerl-leather-lace-up-trainers-dark-green/p110071604
"Washing Instructions is Sponge Clean Only. Brand is Tommy Hilfiger. Occasion Type is Casual. Main Shoe Material is Leather Blend. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Closed Toe, Round. Material is Upper: leather mix, Lining: synthetic, Sole: EVA.","Updating your casual footwear assortment, these trainers from Tommy Hilfiger are constructed with pure leather blended uppers that age beautifully with every wear.
Fastening with laces, combine with chinos and a comfy tee for a go-to off-duty ensemble.",https://www.johnlewis.com/tommy-hilfiger-light-low-top-leather-trainers-desert-sky/p110077199
Washing Instructions is Wipe Clean Only. Brand is Hush Puppies. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Suede. Fastening is Lace-Up. Toe Detail is Round. Composition is Upper: leather; Lining: textile; Sole: rubber.,"Great for out and about; The Braxton Lace Up is built with a suede leather Upper and lace fastening for extra give. Its subtle padded collar provides extra comfort whatever your plans are. Designed with a leather Upper, hardwearing and flexible sole, and Memory Foam Comfort Insole.",https://www.johnlewis.com/hush-puppies-braxton-lace-up-suede-leather-trainers-navy/p110021689
"Brand is Paul Smith. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Canvas. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: cotton canvas, Sole: rubber.","Made from cotton canvas, these 'Kinsey' trainers feature Paul Smith's classic embroidered logo to the heel, along with a colourful striped rubber outsole for a signature flash of colour.",https://www.johnlewis.com/paul-smith-kinsey-cotton-canvas-trainers-off-white/p110078659
"Washing Instructions is Wipe clean . Brand is GANT. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Closed Toe, Round. Composition is Upper: leather; Lining: synthetic; Sole: rubber .","Built on a lightweight rubber sole, the Joree trainers have an elegant polished look with their smooth leather upper and stamped diamond G logo. Pair with jeans or chinos for a casual look that can take you anywhere.",https://www.johnlewis.com/gant-joree-leather-low-top-trainers/cognac/p110089953
"Washing Instructions is Wipe Clean . Brand is adidas. Occasion Type is Casual. Main Shoe Material is Mesh. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Almond. Material is Upper: mesh, Sole: rubber.","Step up your weekend look in these adidas Alphaboost shoes. 
Lace them up and hit the town. A Bounce midsole makes the ride soft and springy. BOOST on the heel returns energy as you go, so you're always light on your feet no matter where the afternoon takes you.
Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",https://www.johnlewis.com/adidas-alphaboost-v1-trainers-black/p110092310
"Sport & Fitness Activity is Running. Brand is adidas. Occasion Type is Casual. Performance Running Type is Cushioned. Shoe Or Boot Style is Sports Trainers. Main Shoe Material is Textile. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: textile, Sole: rubber.","Keep it moving. With a sculpted Cloudfoam midsole, these adidas shoes are made for active days. 
A breathable textile upper and moulded heel counter combine to keep your feet comfortable even after hours of running around. 
Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",https://www.johnlewis.com/adidas-nebzed-cloudfoam-running-shoes-black-red/p110092306
"Washing Instructions is Wipe Clean Only. Brand is Skechers. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Comfort and Fit is Flexible Sole, Underfoot Cushioning. Toe Detail is Closed Toe, Round. Composition is upper: textile, leather, Sole: EVA, Lining: polyester.","Bringing an athleisure vibe to your collection, these trainers from Skechers are crafted from premium leather for long-lasting quality.
Lacing up at the front, pair with jeans and a relaxed shirt and get ready for the weekend.",https://www.johnlewis.com/skechers-equalizer-5-0-cyner-trainers-black/p110103388
"Brand is Vans. Occasion Type is Casual. Main Shoe Material is Canvas. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: canvas, Sole: rubber.","In a classic sporty shape with a dash of contemporary attitude, these trainers from Vans are crafted from lightweight canvas.
Fastening with laces, pair with jeans and a relaxed shirt for off-duty days.",https://www.johnlewis.com/vans-caldrone-trainers-black-white/p110129568
"Washing Instructions is Sponge Clean Only. Brand is Calvin Klein. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Suede. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: suede, Sole: rubber.","These stylish trainers from Calvin Klein are made from 100% soft suede and feature a lace-up fastening with a low-top design. 
With contrast tonal suede panelling and a toothy rubber sole, they're finished with signature Calvin Klein Jeans logo branding on the side, tongue and heel panel.",https://www.johnlewis.com/calvin-klein-suede-lace-up-runner-trainers-eggshell-travertine/p110183392
"Washing Instructions is Sponge Clean Only. Brand is Calvin Klein. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: leather, Sole: rubber.","These low-top trainers from Calvin Klein Jeans are made from 100% soft cactus leather and feature a chunky retro sole and stylish mix media tonal panelling. 


Completed with a lace-up fastening and CKJ logo branded heel panel and tongue.",https://www.johnlewis.com/calvin-klein-leather-low-top-chunky-heel-trainers-white-light-grey/p110183417
"Washing Instructions is Wipe Clean Only. Brand is CLAE. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Polyester. Fastening is Lace-Up. Toe Detail is Closed Toe, Round. Material is Upper: synthetic, Lining: synthetic, Sole: Rubber.","Updating the classic sporty silhouette for the new season, these trainers from CLAE are built to last thanks to their soft, yet durable composition.
Lacing up for a snug fit, combine with chinos and a comfy tee for a go-to off-duty ensemble.",https://www.johnlewis.com/clae-joshua-lace-up-trainers/microchip-wht-nvy/p110425531
"Washing Instructions is Sponge Clean Only. Brand is Calvin Klein. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Synthetic. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: synthetic, Sole: rubber. Sustainable Material is Recycled.","Add a sporty vibe to your outfit with these chunky runner trainers from Calvin Klein Jeans.
Made from 100% recycled materials, they feature stylish mesh panelling and a lace-up fastening. Completed with a toothy rubber sole and signature CKJ Monogram logo on the side, tongue and heel for a branded statement.",https://www.johnlewis.com/calvin-klein-recycled-lace-up-runner-trainers-white-creamy-white/p110183400
"Brand is Josef Seibel. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Toe Detail is Round. Composition is Upper: leather, Sole: rubber, Lining: textile.","From Josef Seibel, the Jeremiah 04 is a modern trainer-style, perfect for everyday wear.
With a lightweight and flexible EVA white sole unit, this design has the springy feeling of a new sports shoe but with the high-quality features of a well manufactured leather shoe.
Featuring signature motif and contrast stitching to complete it's on-trend look.",https://www.johnlewis.com/josef-seibel-jeremiah-04-leather-lace-up-trainers/olive-kombi/p6211999
"Brand is Reebok. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Fastening is Lace-Up. Toe Detail is Closed Toe, Round. Material is Upper: leather, Sole: rubber, Lining: textile.","Working a laid-back aesthetic into your casual collection, these trainers from Reebok boast a premium leather construction.
Fastening with laces, pair with jeans and a relaxed shirt for off-duty days.",https://www.johnlewis.com/reebok-court-advance-lace-up-trainers/white/p110192476
"Sub-Brand is Polo Ralph Lauren. Washing Instructions is Wipe Clean. Brand is Ralph Lauren. Occasion Type is Casual. Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Calf Leather. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: 100% leather, Lining: 100% cotton, Sole: rubber.","In a classic silhouette the Ralph Lauren Longwood Trainers are a versatile staple. Made with a premium leather upper with a comfortable cotton lining, this lace-up style features a debossed logo to the back collar tab and the iconic branding to the side.",https://www.johnlewis.com/polo-ralph-lauren-longwood-leather-trainers-white/p110400278
Brand is HUGO BOSS. Occasion Type is Casual. Shoe Or Boot Style is Espadrilles. Main Shoe Material is Leather. Fastening is Slip-On. Toe Detail is Round. Range is Business. Material is Leather .,"Easy-wear espadrilles by BOSS. Crafted in supple suede for a rich and refined feel, this casual style is detailed with signature-stripe tape and an embossed logo. The jute outsole has a rubber base for reliable traction.",https://www.johnlewis.com/hugo-boss-madeira-leather-embossed-espadrilles-black/p109833926
